HUC,Runoff,TSS Load,TP Load,NO3 Load,NH3 Load,PB Load,CU Load,ZN Load,BOD Load,E.COLI Load,GLYPHOSATE Load,"2,4-D Load",CARBARYL Load,OIL&GREASE Load
101,75777262.74419071,312918.2766612659,78.40418216124732,121.14978899832882,23.49031498707743,63.73476679105683,40.4029932994469,237.8544255310854,22161.451126008455,4771620.643289551,0.0,0.0,0.0,13708.163781352874
102,80421933.83141941,325970.5514821998,172.8356780049295,349.16364397643144,441.5366960293735,62.28790951767742,40.81907956473448,240.67190769134533,23633.810240352796,5120103.120925508,0.0,0.0,0.0,13515.120436995889
103,135972249.5502291,562841.1034138562,166.27934513147787,300.312517651167,166.09199979337572,114.61600517643481,72.8063043292823,429.3446858522356,40080.08864497294,8716239.048190063,0.0,0.0,0.0,24607.85781529694
104,118247545.27191009,487219.83297499956,118.14422645002786,169.93293782913216,14.931149804746434,98.9228076910439,62.749235048582676,369.1154084295307,34452.75701904583,7382481.327044701,0.0,0.0,0.0,21305.093606509447
105,71558538.08108296,295996.8870764927,75.98824809203376,123.2709591355511,32.25792893497489,60.43361788516048,38.29190366042943,225.5619682043281,20987.65168291132,4535399.160292621,0.0,0.0,0.0,12984.867164719435
106,103961876.27735743,430111.8467153574,110.71273699752633,180.52501248059295,48.49485172683964,87.83931550656597,55.65371503088795,327.85517007068,30501.042794296172,6593891.548981013,0.0,0.0,0.0,18871.161188561895
107,125374879.31944866,520773.57602794823,141.59805635352512,254.4708938337539,100.2617069353166,106.95633400373994,67.68997882679234,399.3207665004361,37032.08177509288,8074057.362124493,0.0,0.0,0.0,22923.389880035345
201,98545499.38830137,408693.930613664,108.80967061350427,188.70120126254855,65.94821153544555,83.75300279520833,53.028339935983574,312.657011752759,29030.908760840583,6308708.17765604,0.0,0.0,0.0,17967.05195773289
202,110078816.58223559,455790.6345051436,118.67706175795259,197.74344459759678,58.84476086175253,93.19151353130319,59.03115255991281,347.85211387218106,32340.306484536995,7003760.372996445,0.0,0.0,0.0,20011.176273897763
203,135957947.33373073,564301.0929800007,151.86642895763893,268.2903235423516,100.01904473109424,115.77112149015034,73.28432221849287,432.2075134835307,40106.17687323128,8730172.1845403,0.0,0.0,0.0,24823.931100603317
204,105869213.17264411,438851.1981372991,116.053226152686,198.89055242276746,66.49168739854277,89.87047780854344,56.909509372714645,335.48240282930146,31162.48524683412,6764831.758481653,0.0,0.0,0.0,19285.08333095704
205,170368069.51953724,708158.5739784754,194.34572358485434,354.58324824947715,146.2323251113011,145.58471208345583,92.11891073070711,543.5661867083359,50381.23618582491,11000765.824371263,0.0,0.0,0.0,31189.424890784983
301,82796000.13959076,342836.20115872734,89.31145045342173,148.95266634210878,44.509695727937746,70.10030142337529,44.40382195746385,261.6611701546308,24326.311105775432,5268620.950754544,0.0,0.0,0.0,15052.433287565984
302,122227866.97357303,507437.8329549348,138.9672184518078,249.0653280837521,101.71502432119442,104.10115592581447,65.91160483356538,388.79394706791334,36085.47679734352,7863019.985895762,0.0,0.0,0.0,22317.570997850362
303,61735941.87700351,256472.66025333645,69.87319034029437,125.98099611255884,50.139056731738286,52.68531706687125,33.34182886084792,196.7023331732182,18239.575453116737,3977999.238181207,0.0,0.0,0.0,11290.768045622634
304,83862239.55488776,348379.17780837865,94.86186849190422,170.88710007833558,67.82971571688924,71.56100021017181,45.287781434072706,267.17456180807216,24775.016632498948,5402907.205189741,0.0,0.0,0.0,15336.29890344305
305,130030076.58642805,540428.2068274014,148.0969146082416,269.5659152261293,110.40119087116227,111.08504190132193,70.2913731662595,414.75237275392374,38445.29621936627,8392590.51708557,0.0,0.0,0.0,23799.935060267744
306,105698181.61694136,443858.1579432869,138.16401289973504,300.0009956073716,181.65323200274665,92.55270674276632,58.39928822929878,345.80379218746043,31798.44798923396,7090573.134028098,0.0,0.0,0.0,19710.111135227748
401,243658963.14465022,1020039.6849753676,306.18495651220456,635.5515805332416,355.09009744712193,211.79399808035316,133.75040045454043,791.1585739578833,72923.79353592698,16159482.380088026,0.0,0.0,0.0,45184.45414488102
402,196215784.52401447,815093.8917120402,221.86392270464674,399.43040112125277,158.2482931763085,167.4229159280775,105.95535450095116,625.075910070015,57964.36969218047,12640064.18266687,0.0,0.0,0.0,35881.13959624868
403,221113011.26863426,910964.5746460422,254.51612373226686,414.60037195775,187.6180710187442,184.23514848749383,117.20019977652248,689.9983814000042,64666.531873059306,13923735.534945179,0.0,0.0,0.0,39668.26228111907
404,146415504.40749344,599286.3993866184,267.49356282148113,536.320068355506,588.7762085765773,117.71314512594286,76.151921830742,449.31116930346303,43203.98074884481,9408127.028997462,0.0,0.0,0.0,25405.65824995942
405,215425672.99707058,883156.858449294,498.45801907544603,1103.3705858783244,1367.5088773814964,171.8590185594303,112.11515424588488,663.6605848885258,64480.92972599733,14290468.791053003,0.00017734935521091435,0.00017734935521091435,4.304596000264912e-05,37016.199840026886
406,199760722.01814762,792950.0987823397,800.6012849981951,1893.2042873162009,2831.3916725242902,137.5454890931365,95.36398208487859,565.5662233304765,59996.024945863144,13338127.994651377,0.010425303997375547,0.010425303997375547,0.002530413591596007,30150.320377930744
501,131173397.19989902,541745.4800777906,170.46763389314972,310.96942483347584,206.1041882117362,109.65781157252692,69.84828417054186,411.8365255607574,38628.92645361423,8390665.142975107,0.0,0.0,0.0,23569.868229753174
502,182188581.7304098,743731.017643811,620.485679011062,9113.425690365451,1407.4657889121968,144.06910254435223,93.98680201122143,555.2620351646955,60207.52168756003,13008682.037779842,1.4082882323704473,1.4082882323704473,0.3418175321287493,31120.828651716754
503,375423586.404974,1681701.5800090232,2401.3648154590082,29455.863539126865,6674.201540106122,350.5358137898972,227.12444109419138,1376.4769968155288,148093.09585688534,34349432.8195824,4.604238667236953,4.563271522646289,1.216497007464907,71271.05271064416
601,93963423.84641919,376292.9914315256,280.76498284728694,677.054432657476,877.2969021729888,68.58358129428942,46.125278876776555,272.4247178752074,27829.444431874304,6071306.216356989,0.0128900116714374,0.0128900116714374,0.003128643609572185,14973.16919547534
602,492469261.235893,2006008.2082102979,2483.48670247033,47957.684765461694,5730.546471157544,383.15496602093907,252.2017124251534,1492.4382143405956,180715.97167108057,38850027.19082563,7.687900209986671,7.687900209986671,1.8659951965987065,82808.66016850022
603,307148772.33243144,1390258.007712956,2740.0055013793035,27466.605658152268,8493.631790660493,290.38340793714264,193.17387142568856,1183.6579120226259,130770.23561691953,30801386.114212096,4.1758103432985765,4.132659167182283,1.144195936705934,57169.859716898856
604,396084962.594772,1929247.5858370152,3776.8201714099364,39118.70860963985,11195.027177157375,433.76638294495575,280.0070389515372,1729.1454193119905,181897.60022864226,43806633.07976437,6.176448576217542,6.085976823314074,1.7432904861388794,83118.4369099963
605,464954569.93637985,2099956.285186675,3432.053908704759,61381.00442256933,8448.638532786197,455.5330787142092,290.5210951907624,1760.4251703303712,203223.08482942867,46590461.81096322,9.985490401980233,9.941486007656868,2.5388051292330416,92183.63379462673
606,423027726.2825278,1868069.855051352,2714.1890715867585,55530.35320583051,6079.6127749185,379.9651882780347,243.38959783141183,1461.6605545823418,175390.67681452705,39264066.48002599,9.120643817600346,9.083015120710137,2.274152147149437,79445.21628911355
607,1170217601.5164976,6690083.685801377,18046.883647162325,100558.98858237355,60905.735050686046,1580.0882599750867,1032.6050519121397,6565.008542500002,640670.2238727376,167556016.48836786,14.890744892996334,14.282759616335168,5.1780062012742825,279344.5024798813
