HUC,Runoff,TSS Attenuated Load,TP Attenuated Load,NO3 Attenuated Load,NH3 Attenuated Load,PB Attenuated Load,CU Attenuated Load,ZN Attenuated Load,BOD Attenuated Load,E.COLI Attenuated Load,GLYPHOSATE Attenuated Load,"2,4-D Attenuated Load",CARBARYL Attenuated Load,OIL&GREASE Attenuated Load
101,75777262.74419071,81045.83365526787,37.73593287420833,58.30939344489566,11.305888603280366,33.036916366144304,20.942891576768297,184.97938673552514,17234.96054069678,3710889.374286284,0.0,0.0,0.0,5074.076823667766
102,80421933.83141941,84426.37283388975,83.18581182377255,168.0524618458564,212.51161179893745,32.28693789848809,21.158569892380115,187.17054261155928,18380.01422392237,3981904.197143768,0.0,0.0,0.0,5002.621829754028
103,135972249.5502291,145775.8457841888,80.03024881178028,144.54041474550667,79.94007950055172,59.41120628320498,37.73914784908348,333.90136218728367,31170.284939195455,6778619.107777412,0.0,0.0,0.0,9108.598570332162
104,118247545.27191009,126189.93674052489,56.8628161903984,81.7887229771613,7.186362401024458,51.27663736665261,32.52606598743283,287.0610531356461,26793.909133711943,5741355.728042665,0.0,0.0,0.0,7886.0803984494705
105,71558538.08108296,76663.19375281161,36.573143806695846,59.330312631940735,15.525741196403413,31.325765830772934,19.848608262383596,175.41954267250597,16322.096713800138,3527179.926959572,0.0,0.0,0.0,4806.348581020898
106,103961876.27735743,111398.96829927756,53.28604031690942,86.88668850690937,23.340572136127918,45.53150919282847,28.848103186260772,254.9729657639679,23720.660981124136,5128069.457642534,0.0,0.0,0.0,6985.160313946186
107,125374879.31944866,134880.3561912386,68.15114452295163,122.47684120218574,48.25595954796787,55.440815730838594,35.087100524867814,310.55176010738916,28799.84999648974,6279194.410524218,0.0,0.0,0.0,8485.092764095081
201,98545499.38830137,105851.72802893897,52.370094466279596,90.82188816766461,31.74087421200994,43.41336899889624,27.487240005817085,243.15335804012068,22577.337743305725,4906282.349763103,0.0,0.0,0.0,6650.504282154828
202,110078816.58223559,118049.7743368322,57.119269824102574,95.17391988482332,28.32198340276149,48.30582103895101,30.598797929430805,270.5245889583952,25151.056353024425,5446824.442079335,0.0,0.0,0.0,7407.136897783257
203,135957947.33373073,146153.9830818202,73.0933122573116,129.12813272093382,48.139166229075656,60.00996082441943,37.98692842195578,336.12778323614185,31190.57375431197,6789454.907916992,0.0,0.0,0.0,9188.578096888317
204,105869213.17264411,113662.46031756047,55.856417747287765,95.72602288107797,32.00244914491863,46.58436217205848,29.499044183346633,260.90466468034776,24235.064776462896,5261009.658571182,0.0,0.0,0.0,7138.373594953748
205,170368069.51953724,183413.07066042515,93.53859676139038,170.66091738247331,70.3816180760692,75.46383550845933,47.74983737726203,422.7314234030729,39181.48738171604,8555295.581613531,0.0,0.0,0.0,11544.765623324061
301,82796000.13959076,617.1051620857173,26.905967563597827,44.87348026222369,13.408990934998524,24.617122850846698,15.59329015680258,183.30411614012502,17041.55398203992,3690879.720841588,0.0,0.0,0.0,2280.895216064874
302,122227866.97357303,913.3880993188947,41.86526423079161,75.03342073851115,30.64266822700303,36.55720292646827,23.146178269403155,272.365711678956,25279.31991561103,5508360.020919417,0.0,0.0,0.0,3381.7815333042663
303,61735941.87700351,152447.34925458318,50.03479413887799,90.21247169628114,35.903575744463154,38.795360075361316,24.551589099973977,172.767593272701,16020.18391198149,3493956.2908793176,0.0,0.0,0.0,7398.162854213775
304,83862239.55488776,207076.58328930027,67.92868678968279,122.36883462409456,48.57150283055005,52.69465811476211,33.34811073679378,234.66476112726593,21760.39260865647,4745481.456462254,0.0,0.0,0.0,10048.956493492024
305,130030076.58642805,321230.5261382074,106.04923861266965,193.03076057512666,79.05608475902187,81.79858145445742,51.75975554470685,364.2853040372263,33767.272575393785,7371380.102966598,0.0,0.0,0.0,15594.669448889837
306,105698181.61694136,189394.2759944005,82.71741288294236,179.6075960601773,108.75397346772438,58.06340333860816,36.63708546709174,286.3289979691391,26329.43291956561,5871065.460706606,0.0,0.0,0.0,10105.275428475592
401,243658963.14465022,264190.2784086202,147.36681956932404,305.8909757106492,170.90486390129976,109.78341890495105,69.32952007561101,615.284022967046,56712.83423289041,12567229.446994457,0.0,0.0,0.0,16725.02570172771
402,196215784.52401447,211109.31795341842,106.78310599774647,192.24585205965894,76.16490350575727,86.78366847131896,54.92195800556803,486.1215352614507,45078.89030960876,9830177.914860025,0.0,0.0,0.0,13281.403821551447
403,221113011.26863426,235939.82483332494,122.49861035234002,199.54715902326504,90.30057758132158,95.49828921849243,60.75072355416042,536.6117412147833,50291.16183767823,10828489.125526866,0.0,0.0,0.0,14683.20728335622
404,146415504.40749344,155215.17744113418,128.74465178597885,258.13084889950505,283.3779891879067,61.01660877603248,39.47334868096511,349.42929636730327,33599.735828376615,7316700.390451326,0.0,0.0,0.0,9403.904401222479
405,215425672.99707058,228737.62633836718,239.90784458101217,531.0522629832375,658.1820226837142,89.08312227028068,58.114890203354435,516.1288368678066,50146.819047908124,11113697.578801919,7.221665744188433e-05,0.0001379245935475281,1.752831491307872e-05,13701.546370785949
406,199760722.01814762,205374.07558462597,385.32939846963126,911.1992234852873,1362.7488119859406,71.2967042714273,49.431920113696805,439.84085188411166,46658.90860039778,10373062.141440379,0.0042451837877313225,0.008107758918758964,0.001030384414497894,11160.141087891065
501,131173397.19989902,541745.4800777906,170.46763389314972,310.96942483347584,206.1041882117362,109.65781157252692,69.84828417054186,411.8365255607574,38628.92645361423,8390665.142975107,0.0,0.0,0.0,23569.868229753174
502,182188581.7304098,743731.017643811,620.485679011062,9113.425690365451,1407.4657889121968,144.06910254435223,93.98680201122143,555.2620351646955,60207.52168756003,13008682.037779842,1.4082882323704473,1.4082882323704473,0.3418175321287493,31120.828651716754
503,375423586.404974,1681701.5800090232,2401.3648154590082,29455.863539126865,6674.201540106122,350.5358137898972,227.12444109419138,1376.4769968155288,148093.09585688534,34349432.8195824,4.604238667236953,4.563271522646289,1.216497007464907,71271.05271064416
601,93963423.84641919,376292.9914315256,280.76498284728694,677.054432657476,877.2969021729888,68.58358129428942,46.125278876776555,272.4247178752074,27829.444431874304,6071306.216356989,0.0128900116714374,0.0128900116714374,0.003128643609572185,14973.16919547534
602,492469261.235893,2006008.2082102979,2483.48670247033,47957.684765461694,5730.546471157544,383.15496602093907,252.2017124251534,1492.4382143405956,180715.97167108057,38850027.19082563,7.687900209986671,7.687900209986671,1.8659951965987065,82808.66016850022
603,307148772.33243144,881715.5310716338,2038.4188727346288,20433.698879565407,6318.811889766502,221.34083252407984,147.24417564696685,1053.766843730999,116419.90227102564,27421334.406196803,2.9538346109184275,3.679153548153201,0.8093675913558032,39394.521178931085
604,396084962.594772,1929247.5858370152,3776.8201714099364,39118.70860963985,11195.027177157375,433.76638294495575,280.0070389515372,1729.1454193119905,181897.60022864226,43806633.07976437,6.176448576217542,6.085976823314074,1.7432904861388794,83118.4369099963
605,464954569.93637985,2099956.285186675,3432.053908704759,61381.00442256933,8448.638532786197,455.5330787142092,290.5210951907624,1760.4251703303712,203223.08482942867,46590461.81096322,9.985490401980233,9.941486007656868,2.5388051292330416,92183.63379462673
606,423027726.2825278,1868069.855051352,2714.1890715867585,55530.35320583051,6079.6127749185,379.9651882780347,243.38959783141183,1461.6605545823418,175390.67681452705,39264066.48002599,9.120643817600346,9.083015120710137,2.274152147149437,79445.21628911355
607,1170217601.5164976,6690083.685801377,18046.883647162325,100558.98858237355,60905.735050686046,1580.0882599750867,1032.6050519121397,6565.008542500002,640670.2238727376,167556016.48836786,14.890744892996334,14.282759616335168,5.1780062012742825,279344.5024798813
